question;intent;reponse
Parles moi de vous;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
parles un peu de votre entreprise;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Parlez moi un peu de vous;parle_orga;Enchantés de vous rencontrer ! Shoply c'est [ex: une alternative maligne aux grandes marketplaces, avec un service personnalisé et des promotions quotidiennes]. Essayez-nous, vous ne serez pas déçu !
Comment je dois utiliser cette application;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
Quelles sont les particularités de ce site;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
Je conné pa Shoply vou fé koi ?;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Cé koi ce sit ?;parle_orga;Enchantés de vous rencontrer ! Shoply c'est [ex: une alternative maligne aux grandes marketplaces, avec un service personnalisé et des promotions quotidiennes]. Essayez-nous, vous ne serez pas déçu !
G tomber par hasar sur se page c koi ?;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Vou zêtes quel genre d'antrepris ?;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
Espliqué moi cque vou vendez;parle_orga;Bienvenue sur Shoply ! Votre marketplace préférée pour acheter  vos divers  produits au meilleur prix.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.
Chui nouvo, cé koi votre bussines ?;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Jai cliké sur un lik bizar, cé koi ?;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Vendez vou des trucs ?;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
Cé quoi votre taf ?;parle_orga;Bienvenue sur Shoply ! Votre marketplace préférée pour acheter  vos divers  produits au meilleur prix.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.
Sa a l'air doutieu, c sérieu ?;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Okay de l'entreprise shoply;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
Que dois savoir concernant l'entreprise shoply;parle_orga;Bienvenue sur Shoply ! Votre marketplace préférée pour acheter  vos divers  produits au meilleur prix.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.
L'entreprise shoply est spécialisée en quoi ?;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
L'entreprise shoply est spécialisée en quoi ? En qui consiste son domaine d'activité;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
Que dois je savoir concernant cette application;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
C'est quoi ce site?;parle_orga;Bienvenue sur Shoply ! Votre marketplace préférée pour acheter  vos divers  produits au meilleur prix.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.
Quelle est la procédure pour commander ?;passer_commande;"Pour passer une commande, ajoutez les produits au panier, puis cliquer sur ""commander"" et suivez les instructions de paiement."
Je ne sais pas comment commander;passer_commande;"Mettez les produits dans votre panier, puis appuyez sur ""commander"". Suivez les étapes pour finaliser votre commande"
Comment passer une commande ?;passer_commande;"Ajouter vos articles au panier, puis cliquez sur ""Commander"". Suivez les étapes pour valider et finaliser votre commande"
Quelle est la procédure pour commander ?;passer_commande;"Pour passer une commande, ajoutez les produits au panier, puis cliquer sur ""commander"" et suivez les instructions de paiement."
Où cliquer pour passer ma commande ?;passer_commande;"Placez les articles dans votre panier, cliquer ensuite sur ""commander"" et suivez ensuite les étapes pour compléter votre commande"
Je ne sais pas comment commander;passer_commande;"Pour passer une commande, ajoutez les produits au panier, puis cliquer sur ""commander"" et suivez les instructions de paiement."
Comment ça marche pour acheter ?;passer_commande;"Ajouter les produits à votre panier, puis cliquer sur ""Commander"", Suivez ensuite les instructions à l'écran pour finaliser votre commande"
J’ai besoin d’aide pour faire une commande;passer_commande;"Ajouter les produits à votre panier, puis cliquer sur ""Commander"", Suivez ensuite les instructions à l'écran pour finaliser votre commande"
Je veux finaliser mon achat;passer_commande;"Selectionnez les produits souhaités, ajoutez-les à votre panier, puis cliquez sur ""Commander"". Suivez les instructions pour finaliser l'achat"
Je voudrais faire un achat;passer_commande;"Selectionnez les produits souhaités, ajoutez-les à votre panier, puis cliquez sur ""Commander"". Suivez les instructions pour finaliser l'achat"
Je voudrais commander un produit, pouvez vous m'aider ?;passer_commande;"Selectionnez les produits souhaités, ajoutez-les à votre panier, puis cliquez sur ""Commander"". Suivez les instructions pour finaliser l'achat"
Comment puis-je passer une commande sur votre site;passer_commande;"Pour passer une commande, ajoutez les produits au panier, puis cliquer sur ""commander"" et suivez les instructions de paiement."
Où puis je passer commande pour mes articles;passer_commande;"Mettez les produits dans votre panier, puis appuyez sur ""commander"". Suivez les étapes pour finaliser votre commande"
Je désire effectuer une commande, que dois je faire ?;passer_commande;"Ajouter les produits à votre panier, puis cliquer sur ""Commander"", Suivez ensuite les instructions à l'écran pour finaliser votre commande"
Comment faire pour acheter un produit ;passer_commande;"Pour passer une commande, ajoutez les produits au panier, puis cliquer sur ""commander"" et suivez les instructions de paiement."
Comment commander un produit ;passer_commande;"Pour passer une commande, ajoutez les produits au panier, puis cliquer sur ""commander"" et suivez les instructions de paiement."
Est-ce que je peux commander ici ?;passer_commande;"Placez les articles dans votre panier, cliquer ensuite sur ""commander"" et suivez ensuite les étapes pour compléter votre commande"
Commander un article, c'est possible ?;passer_commande;"Ajouter les produits à votre panier, puis cliquer sur ""Commander"", Suivez ensuite les instructions à l'écran pour finaliser votre commande"
Comment commander un article ?;passer_commande;"Selectionnez les produits souhaités, ajoutez-les à votre panier, puis cliquez sur ""Commander"". Suivez les instructions pour finaliser l'achat"
Je voudrais passer une commande, que dois-je faire ?;passer_commande;"Selectionnez les produits souhaités, ajoutez-les à votre panier, puis cliquez sur ""Commander"". Suivez les instructions pour finaliser l'achat"
Je souhaite commander un produit;passer_commande;Pour acheter un produit, cliquez sur 'Ajouter au panier' et finalisez la commande.
Je veux acheter un produit;passer_commande;Pour acheter un produit, cliquez sur 'Ajouter au panier' et finalisez la commande.
Comment acheter quelque chose sur votre site ?;passer_commande;"Ajoutez les articles à votre panier, puis cliquer sur ""commander"" et suivez les étapes de validation."
Je voudrais passé une commande;passer_commande;"Selectionnez les produits souhaités, ajoutez-les à votre panier, puis cliquez sur ""Commander"". Suivez les instructions pour finaliser l'achat"
Comment commander ?;passer_commande;Pour acheter un produit, cliquez sur 'Ajouter au panier' et finalisez la commande.
Comment puis-je faire pour commander;passer_commande;"Ajoutez les articles à votre panier, puis cliquer sur ""commander"" et suivez les étapes de validation."
J besoin de faire le commande;passer_commande;"Placez les articles dans votre panier, cliquer ensuite sur ""commander"" et suivez ensuite les étapes pour compléter votre commande"
Okay d'accord comment devons nous passer commande pour être livré dans la ville de Matadi;passer_commande;Pour acheter un produit, cliquez sur 'Ajouter au panier' et finalisez la commande.
J peux avoir l'image des articles pour commandé;passer_commande;"Selectionnez les produits souhaités, ajoutez-les à votre panier, puis cliquez sur ""Commander"". Suivez les instructions pour finaliser l'achat"
Comment pas un commande;passer_commande;Pour acheter un produit, cliquez sur 'Ajouter au panier' et finalisez la commande.
omment passer des commande;passer_commande ;"Pour passer une commande, ajoutez les produits au panier, puis cliquer sur ""commander"" et suivez les instructions de paiement."
comment passer des commandes;passer_commande ;"Mettez les produits dans votre panier, puis appuyez sur ""commander"". Suivez les étapes pour finaliser votre commande"
comment paser des commandes;passer_commande ;"Ajouter vos articles au panier, puis cliquez sur ""Commander"". Suivez les étapes pour valider et finaliser votre commande"
Un produit;passer_commande ;"Mettez les produits dans votre panier, puis appuyez sur ""commander"". Suivez les étapes pour finaliser votre commande"
Produit;passer_commande ;"Mettez les produits dans votre panier, puis appuyez sur ""commander"". Suivez les étapes pour finaliser votre commande"
C'est quoi shoplybot;qui_es_tu;Je suis Shoplybot, votre assistant shopping 24/7 ! Comment vous aider aujourd'hui ?
Je parle à qui ?;qui_es_tu;Vous parlez à Shoplybot ! ?? Enchanté, comment puis-je vous aider ?
Je parle avec qui là ?;qui_es_tu;Je suis Shoplybot, votre assistant shopping 24/7 ! Comment vous aider aujourd'hui ?
C'est qui ici ?;qui_es_tu;C'est Shoplybot à votre service ! ?? Notre chatbot est là pour vous guider. Une question en particulier ?
T'es qui toi ?;qui_es_tu;Je suis  Shoplybot, ravi de faire votre connaissance ! ?? Besoin d'aide ?
Qui êtes-vous ?;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
T'es un bot ou quoi ?;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
G parle à une machine là ?;qui_es_tu;C'est Shoplybot à votre service ! ?? Notre chatbot est là pour vous guider. Une question en particulier ?
C'est un humain ou ?;qui_es_tu;Vous parlez à Shoplybot ! ?? Enchanté, comment puis-je vous aider ?
Y a quelqu'un ?;qui_es_tu;Vous parlez à Shoplybot ! ?? Enchanté, comment puis-je vous aider ?
c ki ?;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
tu es qui;qui_es_tu;Je suis ton pote Shoplybot ! Toujours là pour t'aider à trouver la perle rare. Cherches-tu quelque chose ?
qui te parle;qui_es_tu;C'est Shoplybot à votre service ! ?? Notre chatbot est là pour vous guider. Une question en particulier ?
on parle à qui ici;qui_es_tu;À votre service 24/7, c'est Shoplybot qui vous répond ! ?? Comment vous aider ?
t ki;qui_es_tu;Je suis ton pote Shoplybot ! Toujours là pour t'aider à trouver la perle rare. Cherches-tu quelque chose ?
qui es-tu;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
je m'adresse à qui exactement;qui_es_tu;Vous parlez à Shoplybot ! ?? Enchanté, comment puis-je vous aider ?
c'est quoi ce truc;qui_es_tu;Vous parlez à Shoplybot ! ?? Enchanté, comment puis-je vous aider ?
t'es un vrai ou pas;qui_es_tu;Vous parlez à Shoplybot ! ?? Enchanté, comment puis-je vous aider ?
qui répond;qui_es_tu;Vous parlez à Shoplybot ! ?? Enchanté, comment puis-je vous aider ?
C'est qui ShoplyBot ?;qui_es_tu;C'est Shoplybot à votre service ! ?? Notre chatbot est là pour vous guider. Une question en particulier ?
T'es qui toi ShoplyBot ?;qui_es_tu;C'est Shoplybot à votre service ! ?? Notre chatbot est là pour vous guider. Une question en particulier ?
ShoplyBot t'es un bot ?;qui_es_tu;C'est Shoplybot à votre service ! ?? Notre chatbot est là pour vous guider. Une question en particulier ?
Hey ShoplyBot;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
ShoplyBot ça marche ?;qui_es_tu;Super question ! Je suis ShoplyBot, votre pote IA dédié à révolutionner votre shopping. Besoin d'aide ?
c ki shoplybot;qui_es_tu;Super question ! Je suis ShoplyBot, votre pote IA dédié à révolutionner votre shopping. Besoin d'aide ?
salut ShoplyBot;qui_es_tu;Toujours ! ?? ShoplyBot branché H24 pour vous. Comment vous servir aujourd'hui ?
ShoplyBot t'es connecté ?;qui_es_tu;Toujours ! ?? ShoplyBot branché H24 pour vous. Comment vous servir aujourd'hui ?
yo le ShoplyBot;qui_es_tu;Toujours ! ?? ShoplyBot branché H24 pour vous. Comment vous servir aujourd'hui ?
ShoplyBot présent ?;qui_es_tu;Présent et attentif ! ?? ShoplyBot à l'écoute de vos besoins. Par où commençons-nous ?
ShoplyBot je teste;qui_es_tu;Toujours ! ?? ShoplyBot branché H24 pour vous. Comment vous servir aujourd'hui ?
t ki ShoplyBot;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
ShoplyBot aide moi;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
ca marche ShoplyBot;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
ShoplyBot t'es là ?;qui_es_tu;Je suis Shoplybot, toujours disponible pour vous conseiller. En quoi puis-je vous assister ?
Est-ce que tu as un nom ?;qui_es_tu;Vous parlez à ShoplyBot, l'assistant du service client ??
Je parle à qui;qui_es_tu;Vous parlez à ShoplyBot, l'assistant du service client ??
Tu as un nom ou pas ? ;qui_es_tu;Je suis ShoplyBot, en suoi puis-je vous aider ?
C'est quoi nom;qui_es_tu;Mon nom est ShoplyBot. Je suis là pour répondre à vos questions ??
tu es ?;qui_es_tu;Je suis ShoplyBot, en suoi puis-je vous aider ?
C'est quoi déjà ton nom;qui_es_tu;Moi, c'est ShoplyBot. Comment puis-je vous aider ?
Tu es qui déjà;qui_es_tu;Je suis ShoplyBot, en suoi puis-je vous aider ?
Tu peux me dire ton nom ?;qui_es_tu;Mon nom est ShoplyBot. Je suis là pour répondre à vos questions ??
C'est quoi ton nom;qui_es_tu;Vous parlez à ShoplyBot, l'assistant du service client ??
Tu t'appelles comment ?;qui_es_tu;Hey, on m'appelle ShoplyBot, je suis là pour t'aider ??
Quel est ton nom ?;qui_es_tu;Salut ! Mon petit nom, c'est ShoplyBot ??
C'est quoi ton prénom;qui_es_tu;Mon nom est ShoplyBot. Je suis là pour répondre à vos questions ??
T'as un nom;qui_es_tu;Vous parlez à ShoplyBot, l'assistant du service client ??
qui es tu ?;qui_es_tu;Vous parlez à ShoplyBot, l'assistant du service client ??
Comment tu t'appelles ?;qui_es_tu;Je suis ShoplyBot, en suoi puis-je vous aider ?
Salut c'est qui ooh ;qui_es_tu;Bonjour, je m'appelle ShoplyBot et je suis là pour vous aider ??
yo ! T'es qui mec;qui_es_tu;Salut ! ShoplyBot à votre service? Comment puis-je vous assister ?
salutation tu t'appel comment ;qui_es_tu;Salut ! ShoplyBot à votre service? Comment puis-je vous assister ?
bsr, qui es tu;qui_es_tu;Bonsoir, je suis ShoplyBot, votre assistant, Comment puis-je vous aider ?
bjr t'es qui bro;qui_es_tu;Bonjour, je m'appelle ShoplyBot et je suis là pour vous aider ??
hein t'es qui;qui_es_tu;Salut, moi c'est ShoplyBot. Si tu as des questions, je suis là pour y répondre ??
hein tu es quoi;qui_es_tu;Coucou, je suis ShoplyBot comment puis-je t'assister aujourd'hui ? ??
Bonjour, qui es tu exactement ?;qui_es_tu;Bonjour, je m'appelle ShoplyBot et je suis là pour vous aider ??
Bonjour, tu t'appelles comment ?;qui_es_tu;Coucou, je suis ShoplyBot comment puis-je t'assister aujourd'hui ? ??
Coucou, tu peux me dire ton nom ?;qui_es_tu;Coucou, mon nom est ShoplyBot. Si tu as des questions, je suis là pour y répondre ??
Salut, donnes moi ton nom;qui_es_tu;Salut ! ShoplyBot à votre service? Comment puis-je vous assister ?
Bonsoir, tu es quoi exactement;qui_es_tu;Bonsoir, je suis ShoplyBot, votre assistant, Comment puis-je vous aider ?
Bonsoir, tu es un assistant virtuel, c'est ca ? Quel est ton nom ?;qui_es_tu;Bonsoir, je suis ShoplyBot, votre assistant, Comment puis-je vous aider ?
Hey, t'es qui ?;qui_es_tu;Salut, moi c'est ShoplyBot. Si tu as des questions, je suis là pour y répondre ??
Je peux trouver un djine chez vous ;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
vous avez des patalons ?;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Tablette;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
telephone;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
smartfone;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Lait;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Chargeur;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
ordinateur;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
pc;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Souris;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Clavier;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
sac;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Regardes un peu dans votre magasin si il ya de box;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
je peux trouver des sacs à main  ici ?;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
les strings sont disponible ? ;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
ah seigneur je cherche un patalon noir ;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
bonjour vous avez de pc;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
je besion des souris sans fil;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Chemise;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Chemise noire;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
veste ;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
cahiers;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
jean;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
jeans;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
robe;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
robe verte;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
vous vendez aussi les cahiers ?;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Je cherche un jean;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Avez-vous des baskets;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Est-ce que les veste sont disponibles ?;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Je voudrais savoir si vous avez des bijoux;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Y a-t-il des jackets;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Pouvez vous me montrer les shirts;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Je cherche des sacs qui offrent une bonne garantie;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Est-ce que vous proposez des robes ;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Il y a des jupes qui ne sont pas trop chers;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Est-ce que vous avez des parfums chez vous ;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Vous proposez aussi des jupes pour enfants;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Verifies si il y a des chaussures chez vous ;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
je peux trouver des jeans ? ;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Vous avez de chemise marche longue ?;recherche_produit;Désolé actuellement je ne peux pas interagir avec la base des données 
Comment retourner un article ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Je veux me faire rembourser.;retours_produit;Vous pouvez le retourner sous 30 jours via votre espace client. Sélectionnez l'article et suivez les instructions.
Délai pour un retour ?;retours_produit;Oui, vous avez 30 jours pour retourner les articles non utilisés. Initiez le retour depuis 'Mes commandes'.
J’ai reçu un article abîmé, comment le renvoyer ?;retours_produit;Absolument. Les retours pour problème de mauvaise qualité sont acceptés sous 30 jours. L'étiquette de retour est gratuite.
Combien de temps pour recevoir mon remboursement ?;retours_produit;Pas de problème ! Retournez l'article non utilisé dans son emballage d'origine sous 30 jours pour un remboursement.
Comment faire un retour ?;retours_produit;Initiez un retour en précisant le problème. Pour les articles défectueux, nous couvrons les frais de retour.
Procédure pour renvoyer un article;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Je ne suis pas satisfait de mon achat, que faire ?;retours_produit;Les échanges sont traités dans les 5 jours après réception. Le nouvel article est expédié sous 48h.
Le produit reçu ne correspond pas à ma commande;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Politique de retour pour les soldes;retours_produit;Oui, vous pouvez retourner certains articles d'une commande. Sélectionnez uniquement ceux à retourner.
Où trouver l'étiquette de retour ?;retours_produit;Les bijoux peuvent être retournés sous 14 jours, dans leur écrin non ouvert avec certificat d'authenticité.
Combien coûte un retour ?;retours_produit;Contactez-nous par chat avec votre numéro de commande. Nous générerons une nouvelle étiquette.
Mon retour a été refusé, pourquoi ?;retours_produit;Oui, utilisez notre formulaire de retour sans compte en indiquant votre numéro de commande et email.
Puis-je retourner en magasin ?;retours_produit;Les retours sont gratuits pour les articles défectueux. Autrement, consultez notre politique de retour.
J'ai perdu mon bon de retour;retours_produit;Aucun souci ! Indiquez simplement le numéro de commande à l'intérieur du colis.
Le produit est abîmé, que faire ?;retours_produit;Les produits hygiéniques, les logiciels scellés et les articles personnalisés ne peuvent être retournés.
Retour international possible ?;retours_produit;Les remboursements sont effectués sur le moyen de paiement initial. Les retours en magasin créditent un bon d'achat.
Temps de traitement d'un retour;retours_produit;Passé 30 jours, contactez notre service client. Des exceptions peuvent être faites pour les articles défectueux.
Remboursement sur quelle carte ?;retours_produit;Utilisez le numéro de suivi fourni par le transporteur. Nous vous notifierons aussi par email.
Je veux me débarrasser d'un article acheté;retours_produit;Vérifiez que l'article était en parfait état. Pour toute question, contactez notre service financier.
Ça ne me convient pas, je peux le renvoyer ?;retours_produit;Oui, vous pouvez regrouper plusieurs articles d'une même commande dans un seul colis de retour.
La taille ne va pas, retour possible ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
J'ai changé d'avis sur mon achat;retours_produit;Absolument. Les retours pour problème de mauvaise qualité sont acceptés sous 30 jours. L'étiquette de retour est gratuite.
Problème avec mon article - que faire ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Où envoyer mon retour ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Combien de temps pour un échange ?;retours_produit;Passé 30 jours, contactez notre service client. Des exceptions peuvent être faites pour les articles défectueux.
J'ai reçu un produit cassé;retours_produit;Passé 30 jours, contactez notre service client. Des exceptions peuvent être faites pour les articles défectueux.
Retour partiel possible ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Politique de retour pour les bijoux;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Mon code de retour ne fonctionne pas;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Retour sans compte client possible ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Le retour est-il gratuit pour ce produit ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
J'ai oublié d'inclure le bon de retour;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Quels produits ne sont pas retournables ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Puis-je me faire rembourser en magasin ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Mon retour a expiré - options ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
Comment suivre mon retour ?;retours_produit;"Vous avez 30 jours pour retourner un article. Voici les étapes : \n 1? Connectez-vous à votre compte > section « Mes commandes ». \n 2. Sélectionnez l’article et générez une étiquette retour. \n 3. Envoyez le colis sous 7 jours. Le remboursement sera traité sous 48h après réception.
"
